სათაური,მოწყობილობა,ჟანრი
Tomb Raider Reloaded,iOS,N/A
Happy Game,iOS,N/A
Valiant Hearts: Coming Home,iOS,N/A
Pocket Card Jockey: Ride On!,"iOS
                                                                                     (Apple Arcade)",N/A
Tin Hearts,PlayStation 5,N/A
Humanity,PlayStation 5,N/A
LEGO 2K Drive,PlayStation 5,N/A
Another Fisherman's Tale,PlayStation 5,N/A
TT Isle of Man: Ride on the Edge 3,PlayStation 5,N/A
void* tRrLM2(); //Void Terrarium 2,PlayStation 4,N/A
Redemption Reapers,PlayStation 4,N/A
Like a Dragon: Ishin!,PlayStation 4,N/A
Tales of Symphonia Remastered,PlayStation 4,N/A
Theatrhythm Final Bar Line,PlayStation 4,N/A
Monster Hunter Rise: Sunbreak,Xbox Series X,N/A
The Last Case of Benedict Fox,Xbox Series X,N/A
Project Nightmares Case 36: Henrietta Kedward,Xbox Series X,N/A
Afterimage,Xbox Series X,N/A
Strayed Lights,Xbox Series X,N/A
Signalis,Xbox One,N/A
Pathfinder: Wrath of the Righteous,Xbox One,N/A
Akane,Xbox One,N/A
Midnight Fight Express,Xbox One,N/A
Digimon Survive,Xbox One,N/A
Final Fantasy Pixel Remaster: FF35th Anniversary Edition,Switch,N/A
Nuclear Blaze,Switch,N/A
Minabo - A walk through life,Switch,N/A
Afterimage,Switch,N/A
Trinity Trigger,Switch,N/A
Star Trek: Resurgence,PC,N/A
"Warhammer 40,000: Boltgun",PC,N/A
Miasma Chronicles,PC,N/A
Planet of Lana,PC,N/A
CONV/RGENCE: A League of Legends Story,PC,N/A
Vampire Survivors,iOS,N/A
Evidence 111,iOS,N/A
Marvel Snap,iOS,N/A
Desta: The Memories Between,iOS,N/A
Shovel Knight Dig,"iOS
                                                                                     (Apple Arcade)",N/A
Death or Treat,PlayStation 5,N/A
Walkabout Mini Golf,PlayStation 5,N/A
Ys IX: Monstrum Nox,PlayStation 5,N/A
Mia and the Dragon Princess,PlayStation 5,N/A
Star Wars Jedi: Survivor,PlayStation 5,N/A
Helvetii,PlayStation 4,N/A
SpongeBob SquarePants: The Cosmic Shake,PlayStation 4,N/A
OddBallers,PlayStation 4,N/A
Persona 4 Golden,PlayStation 4,N/A
Persona 3 Portable,PlayStation 4,N/A
Dead Island 2,Xbox Series X,N/A
Homestead Arcana,Xbox Series X,N/A
Coffee Talk Episode 2: Hibiscus & Butterfly,Xbox Series X,N/A
Disney Speedstorm,Xbox Series X,N/A
Minecraft Legends,Xbox Series X,N/A
RimWorld Console Edition,Xbox One,N/A
ANIQUILATION,Xbox One,N/A
Train Valley: Console Edition,Xbox One,N/A
Capcom Arcade 2nd Stadium,Xbox One,N/A
Endling - Extinction is Forever,Xbox One,N/A
Strayed Lights,Switch,N/A
Xenoblade Chronicles 3: Expansion Pass Wave 4 - Future Redeemed,Switch,N/A
Smile For Me,Switch,N/A
Advance Wars 1 + 2: Re-Boot Camp,Switch,N/A
Tin Hearts,Switch,N/A
LEGO 2K Drive,PC,N/A
Firmament,PC,N/A
HROT,PC,N/A
Tin Hearts,PC,N/A
Humanity,PC,N/A
Yu-Gi-Oh! CROSS DUEL,iOS,N/A
Jetpack Joyride 2,"iOS
                                                                                     (Apple Arcade)",N/A
Hindsight,iOS,N/A
Octopath Traveler: Champions of the Continent,iOS,N/A
Dicey Dungeons,iOS,N/A
Monster Hunter Rise: Sunbreak,PlayStation 5,N/A
Bramble: The Mountain King,PlayStation 5,N/A
Live A Live,PlayStation 5,N/A
Afterimage,PlayStation 5,N/A
Trinity Trigger,PlayStation 5,N/A
Yuppie Psycho: Executive Edition,PlayStation 4,N/A
Chained Echoes,PlayStation 4,N/A
Kukoos - Lost Pets,PlayStation 4,N/A
Sonic Frontiers,PlayStation 4,N/A
Star Ocean: The Divine Force,PlayStation 4,N/A
God of Rock,Xbox Series X,N/A
The Mageseeker: A League of Legends Story,Xbox Series X,N/A
GhostWire: Tokyo,Xbox Series X,N/A
King of the Arcade,Xbox Series X,N/A
Sherlock Holmes: The Awakened,Xbox Series X,N/A
Eternal Hope,Xbox One,N/A
Adventures of Chris,Xbox One,N/A
Cuphead in the Delicious Last Course,Xbox One,N/A
AI: The Somnium Files - nirvanA Initiative,Xbox One,N/A
Capcom Fighting Collection,Xbox One,N/A
Coffee Talk Episode 2: Hibiscus & Butterfly,Switch,N/A
Labyrinth of Zangetsu,Switch,N/A
DNF Duel: Who's Next,Switch,N/A
Teslagrad 2,Switch,N/A
The Mageseeker: A League of Legends Story,Switch,N/A
Darkest Dungeon II,PC,N/A
Ravenlok,PC,N/A
Mia and the Dragon Princess,PC,N/A
Redfall,PC,N/A
Showgunners,PC,N/A
Disney Mirrorverse,iOS,N/A
NETFLIX Poinpy,iOS,N/A
Diablo Immortal,iOS,N/A
Streets of Rage 4,iOS,N/A
Apex Legends Mobile,iOS,N/A
